time_sec,target_rps,actual_sent,success_count,fail_count,avg_latency_ms,p95_latency_ms,scenario,phase
0,92,92,92,0,897.63,1395.56,sale_event,normal
1,86,86,86,0,1061.26,1259.82,sale_event,normal
2,85,85,85,0,1041.76,1235.28,sale_event,normal
3,91,91,91,0,1097.0,1325.85,sale_event,normal
4,100,100,100,0,1158.02,1442.21,sale_event,normal
5,85,85,85,0,1027.61,1225.5,sale_event,normal
6,96,96,96,0,1133.69,1388.52,sale_event,normal
7,99,99,99,0,1168.61,1446.06,sale_event,normal
8,95,95,95,0,1217.84,1488.83,sale_event,normal
9,80,80,80,0,1026.84,1199.64,sale_event,normal
10,80,80,80,0,1071.34,1252.98,sale_event,normal
11,100,100,100,0,1232.51,1526.83,sale_event,normal
12,95,95,95,0,1197.03,1466.8,sale_event,normal
13,86,86,86,0,1102.12,1323.56,sale_event,normal
14,86,86,86,0,1077.84,1286.38,sale_event,normal
15,87,87,87,0,1107.51,1323.48,sale_event,normal
16,90,90,90,0,1163.38,1401.59,sale_event,normal
17,99,99,99,0,1382.69,1724.1,sale_event,normal
18,96,96,96,0,1251.54,1533.36,sale_event,normal
19,80,80,80,0,1069.1,1246.06,sale_event,normal
20,100,100,100,0,1238.53,1552.59,sale_event,normal
21,89,89,89,0,1126.18,1354.94,sale_event,normal
22,85,85,85,0,1120.72,1324.64,sale_event,normal
23,97,97,97,0,1225.87,1506.7,sale_event,normal
24,99,99,99,0,1274.65,1566.61,sale_event,normal
25,89,89,89,0,1155.41,1393.19,sale_event,normal
26,89,89,89,0,1136.88,1364.66,sale_event,normal
27,94,94,94,0,1209.24,1474.62,sale_event,normal
28,92,92,92,0,1160.53,1409.86,sale_event,normal
29,80,80,80,0,1035.88,1215.51,sale_event,normal
30,80,80,80,0,1044.62,1213.18,sale_event,normal
31,100,100,100,0,1284.94,1575.92,sale_event,normal
32,92,92,92,0,1128.52,1370.82,sale_event,normal
33,97,97,97,0,1199.49,1475.22,sale_event,normal
34,81,81,81,0,1019.32,1200.25,sale_event,normal
35,100,100,100,0,1238.26,1533.38,sale_event,normal
36,92,92,92,0,1145.5,1392.82,sale_event,normal
37,89,89,89,0,1107.51,1327.88,sale_event,normal
38,93,93,93,0,1182.02,1436.23,sale_event,normal
39,87,87,87,0,1091.54,1309.43,sale_event,normal
40,97,97,97,0,1203.59,1485.37,sale_event,normal
41,82,82,82,0,1024.61,1221.44,sale_event,normal
42,97,97,97,0,1222.68,1501.12,sale_event,normal
43,97,97,97,0,1193.69,1473.57,sale_event,normal
44,97,97,97,0,1178.32,1455.94,sale_event,normal
45,83,83,83,0,1065.5,1258.48,sale_event,normal
46,81,81,81,0,1038.38,1223.12,sale_event,normal
47,92,92,92,0,1172.07,1433.06,sale_event,normal
48,83,83,83,0,1088.72,1293.44,sale_event,normal
49,98,98,98,0,1266.26,1563.02,sale_event,normal
50,100,100,100,0,1222.49,1514.47,sale_event,normal
51,98,98,98,0,1189.49,1467.32,sale_event,normal
52,91,91,91,0,1163.19,1399.04,sale_event,normal
53,91,91,91,0,1123.47,1361.59,sale_event,normal
54,82,82,82,0,1061.55,1246.17,sale_event,normal
55,87,87,87,0,1108.37,1322.94,sale_event,normal
56,94,94,94,0,1206.89,1476.25,sale_event,normal
57,84,84,84,0,1105.46,1307.46,sale_event,normal
58,91,91,91,0,1175.65,1418.71,sale_event,normal
59,94,94,94,0,1237.59,1494.39,sale_event,normal
60,83,83,83,0,1078.86,1274.24,sale_event,normal
61,80,80,80,0,1130.55,1335.24,sale_event,normal
62,91,91,91,0,1160.63,1407.6,sale_event,normal
63,88,88,88,0,1145.39,1383.7,sale_event,normal
64,87,87,87,0,1121.01,1336.42,sale_event,normal
65,92,92,92,0,1170.57,1414.9,sale_event,normal
66,97,97,97,0,1249.89,1526.59,sale_event,normal
67,96,96,96,0,1203.1,1468.34,sale_event,normal
68,88,88,88,0,1150.47,1379.08,sale_event,normal
69,90,90,90,0,1164.5,1402.72,sale_event,normal
70,88,88,88,0,1160.93,1392.12,sale_event,normal
71,99,99,99,0,1235.84,1526.66,sale_event,normal
72,95,95,95,0,1198.53,1473.08,sale_event,normal
73,97,97,97,0,1233.39,1516.71,sale_event,normal
74,80,80,80,0,1042.07,1220.58,sale_event,normal
75,86,86,86,0,1142.83,1354.16,sale_event,normal
