time_sec,target_rps,actual_sent,success_count,fail_count,avg_latency_ms,p95_latency_ms,scenario,phase
0,92,92,92,0,857.23,1180.56,sale_event,normal
1,86,86,86,0,770.54,1037.24,sale_event,normal
2,85,85,85,0,823.88,1054.01,sale_event,normal
3,91,91,91,0,879.7,1168.4,sale_event,normal
4,100,100,100,0,863.73,1232.96,sale_event,normal
5,85,85,85,0,847.15,1097.79,sale_event,normal
6,96,96,96,0,829.82,1149.21,sale_event,normal
7,99,99,99,0,853.47,1189.5,sale_event,normal
8,95,95,95,0,828.32,1128.46,sale_event,normal
9,80,80,80,0,757.49,961.59,sale_event,normal
10,80,80,80,0,771.51,972.56,sale_event,normal
11,100,100,100,0,872.49,1192.03,sale_event,normal
12,95,95,95,0,850.71,1148.67,sale_event,normal
13,86,86,86,0,794.88,1032.46,sale_event,normal
14,86,86,86,0,749.31,1016.95,sale_event,normal
15,87,87,87,0,739.86,1007.88,sale_event,normal
16,90,90,90,0,779.41,1046.07,sale_event,normal
17,99,99,99,0,884.79,1259.64,sale_event,normal
18,96,96,96,0,851.48,1186.06,sale_event,normal
19,80,80,80,0,736.67,938.18,sale_event,normal
20,100,100,100,0,880.75,1228.5,sale_event,normal
21,89,89,89,0,781.88,1064.5,sale_event,normal
22,85,85,85,0,781.36,1014.76,sale_event,normal
23,97,97,97,0,868.77,1179.53,sale_event,normal
24,99,99,99,0,828.13,1180.03,sale_event,normal
25,89,89,89,0,818.18,1071.05,sale_event,normal
26,89,89,89,0,788.75,1084.35,sale_event,normal
27,94,94,94,0,792.27,1123.96,sale_event,normal
28,92,92,92,0,809.12,1100.22,sale_event,normal
29,80,80,80,0,727.78,972.47,sale_event,normal
30,80,80,80,0,732.01,965.6,sale_event,normal
31,100,100,100,0,867.63,1186.66,sale_event,normal
32,92,92,92,0,802.22,1117.98,sale_event,normal
33,97,97,97,0,873.9,1174.5,sale_event,normal
34,81,81,81,0,736.57,969.24,sale_event,normal
35,100,100,100,0,832.97,1202.0,sale_event,normal
36,92,92,92,0,822.99,1105.79,sale_event,normal
37,89,89,89,0,831.58,1098.86,sale_event,normal
38,93,93,93,0,845.42,1164.65,sale_event,normal
39,87,87,87,0,797.1,1077.57,sale_event,normal
40,97,97,97,0,846.64,1172.59,sale_event,normal
41,82,82,82,0,810.52,1065.9,sale_event,normal
42,97,97,97,0,1102.08,1465.81,sale_event,normal
43,97,97,97,0,1006.79,1366.34,sale_event,normal
44,97,97,97,0,887.83,1250.86,sale_event,normal
45,83,83,83,0,791.83,1067.31,sale_event,normal
46,81,81,81,0,781.92,1013.04,sale_event,normal
47,92,92,92,0,876.49,1156.38,sale_event,normal
48,83,83,83,0,800.78,1021.93,sale_event,normal
49,98,98,98,0,837.16,1165.99,sale_event,normal
50,100,100,100,0,889.13,1259.11,sale_event,normal
51,98,98,98,0,857.58,1212.38,sale_event,normal
52,91,91,91,0,881.59,1204.96,sale_event,normal
53,91,91,91,0,833.6,1105.04,sale_event,normal
54,82,82,82,0,764.95,988.13,sale_event,normal
55,87,87,87,0,834.6,1080.91,sale_event,normal
56,94,94,94,0,863.62,1179.07,sale_event,normal
57,84,84,84,0,817.04,1048.62,sale_event,normal
58,91,91,91,0,833.41,1113.64,sale_event,normal
59,94,94,94,0,810.05,1132.24,sale_event,normal
60,83,83,83,0,741.32,997.76,sale_event,normal
61,80,80,80,0,774.48,985.21,sale_event,normal
62,91,91,91,0,798.43,1104.75,sale_event,normal
63,88,88,88,0,782.75,1064.64,sale_event,normal
64,87,87,87,0,776.78,1041.32,sale_event,normal
65,92,92,92,0,807.25,1110.95,sale_event,normal
66,97,97,97,0,883.51,1189.29,sale_event,normal
67,96,96,96,0,922.86,1239.68,sale_event,normal
68,88,88,88,0,823.4,1074.2,sale_event,normal
