time_sec,target_rps,actual_sent,success_count,fail_count,avg_latency_ms,p95_latency_ms,scenario,phase
0,92,92,92,0,885.28,1217.5,sale_event,normal
1,86,86,86,0,812.93,1083.78,sale_event,normal
2,85,85,85,0,824.44,1066.46,sale_event,normal
3,91,91,91,0,854.41,1136.07,sale_event,normal
4,100,100,100,0,907.7,1251.65,sale_event,normal
5,85,85,85,0,812.43,1056.78,sale_event,normal
6,96,96,96,0,942.27,1227.04,sale_event,normal
7,99,99,99,0,916.6,1246.34,sale_event,normal
8,95,95,95,0,893.12,1185.46,sale_event,normal
9,80,80,80,0,809.3,1022.83,sale_event,normal
10,80,80,80,0,770.14,1023.26,sale_event,normal
11,100,100,100,0,902.23,1221.81,sale_event,normal
12,95,95,95,0,903.1,1195.89,sale_event,normal
13,86,86,86,0,860.2,1093.54,sale_event,normal
14,86,86,86,0,837.71,1101.05,sale_event,normal
15,87,87,87,0,894.36,1134.78,sale_event,normal
16,90,90,90,0,866.74,1178.89,sale_event,normal
17,99,99,99,0,950.47,1304.74,sale_event,normal
18,96,96,96,0,934.11,1252.19,sale_event,normal
19,80,80,80,0,787.17,1017.1,sale_event,normal
20,100,100,100,0,872.23,1237.25,sale_event,normal
21,89,89,89,0,832.68,1101.29,sale_event,normal
22,85,85,85,0,810.89,1084.91,sale_event,normal
23,97,97,97,0,891.54,1187.92,sale_event,normal
24,99,99,99,0,897.48,1279.42,sale_event,normal
25,89,89,89,0,841.57,1135.49,sale_event,normal
26,89,89,89,0,901.54,1156.85,sale_event,normal
27,94,94,94,0,885.15,1177.19,sale_event,normal
28,92,92,92,0,970.09,1359.03,sale_event,normal
29,80,80,80,0,750.42,998.92,sale_event,normal
30,80,80,80,0,783.7,989.28,sale_event,normal
31,100,100,100,0,884.03,1219.25,sale_event,normal
32,92,92,92,0,829.7,1152.1,sale_event,normal
33,97,97,97,0,894.67,1183.34,sale_event,normal
34,81,81,81,0,791.95,1022.34,sale_event,normal
35,100,100,100,0,896.95,1237.97,sale_event,normal
36,92,92,92,0,829.38,1131.17,sale_event,normal
37,89,89,89,0,847.33,1090.42,sale_event,normal
38,93,93,93,0,825.05,1148.85,sale_event,normal
39,87,87,87,0,856.25,1118.95,sale_event,normal
40,97,97,97,0,881.0,1204.42,sale_event,normal
41,82,82,82,0,805.74,1014.41,sale_event,normal
42,97,97,97,0,867.64,1202.44,sale_event,normal
43,97,97,97,0,875.83,1227.89,sale_event,normal
44,97,97,97,0,856.13,1236.25,sale_event,normal
45,83,83,83,0,830.75,1046.72,sale_event,normal
46,81,81,81,0,769.73,1035.17,sale_event,normal
47,92,92,92,0,829.84,1134.65,sale_event,normal
48,83,83,83,0,788.58,1055.76,sale_event,normal
49,98,98,98,0,899.27,1215.8,sale_event,normal
50,100,100,100,0,924.78,1278.47,sale_event,normal
51,98,98,98,0,896.66,1227.91,sale_event,normal
52,91,91,91,0,863.37,1163.89,sale_event,normal
53,91,91,91,0,870.46,1152.99,sale_event,normal
54,82,82,82,0,798.32,1010.82,sale_event,normal
55,87,87,87,0,815.73,1075.05,sale_event,normal
56,94,94,94,0,886.72,1177.26,sale_event,normal
57,84,84,84,0,812.22,1072.47,sale_event,normal
58,91,91,91,0,840.61,1124.78,sale_event,normal
59,94,94,94,0,880.12,1166.87,sale_event,normal
60,83,83,83,0,814.13,1048.11,sale_event,normal
61,80,80,80,0,800.55,1028.75,sale_event,normal
62,91,91,91,0,847.38,1122.39,sale_event,normal
63,88,88,88,0,831.13,1103.63,sale_event,normal
64,87,87,87,0,812.53,1060.74,sale_event,normal
65,92,92,92,0,829.83,1168.72,sale_event,normal
66,97,97,97,0,886.88,1192.47,sale_event,normal
67,96,96,96,0,875.27,1181.88,sale_event,normal
