time_sec,target_rps,actual_sent,success_count,fail_count,sla_violation_count,avg_latency_ms,p95_latency_ms,active_ports,scenario,phase
0,92,92,77,15,0,320.99,444.25,"8001,8002,8003,8004,8005,8006",sale_event,normal
1,86,86,86,0,0,313.95,376.06,"8001,8002,8003",sale_event,normal
2,85,85,85,0,0,263.97,301.12,"8001,8002,8003",sale_event,normal
3,91,91,91,0,0,267.67,301.53,"8001,8002,8003",sale_event,normal
4,100,100,100,0,0,286.68,340.87,"8001,8002,8003",sale_event,normal
5,85,85,85,0,0,306.77,427.67,"8001,8002,8003",sale_event,normal
6,96,96,96,0,0,294.54,310.78,"8001,8002,8003",sale_event,normal
7,99,99,99,0,0,330.94,440.68,"8001,8002,8003",sale_event,normal
8,95,95,95,0,0,288.04,335.66,"8001,8002,8003",sale_event,normal
9,80,80,80,0,0,247.18,291.28,"8001,8002,8003",sale_event,normal
10,80,80,80,0,0,280.7,316.46,"8001,8002,8003",sale_event,normal
11,100,100,100,0,0,301.89,337.68,"8001,8002,8003",sale_event,normal
12,95,95,95,0,0,274.89,326.44,"8001,8002,8003",sale_event,normal
13,86,86,86,0,0,246.06,288.64,"8001,8002,8003",sale_event,normal
14,86,86,86,0,0,259.93,286.65,"8001,8002,8003",sale_event,normal
15,87,87,87,0,0,269.48,316.72,"8001,8002,8003",sale_event,normal
16,90,90,90,0,0,298.65,336.62,"8001,8002,8003",sale_event,normal
17,99,99,99,0,0,327.1,346.26,"8001,8002,8003",sale_event,normal
18,96,96,96,0,0,289.82,334.12,"8001,8002,8003",sale_event,normal
19,80,80,80,0,0,249.26,293.09,"8001,8002,8003",sale_event,normal
20,100,100,100,0,0,354.8,385.76,"8001,8002,8003",sale_event,normal
21,89,89,89,0,0,279.19,307.07,"8001,8002,8003",sale_event,normal
22,85,85,85,0,0,257.3,289.42,"8001,8002,8003",sale_event,normal
23,97,97,97,0,0,294.72,340.18,"8001,8002,8003",sale_event,normal
24,99,99,99,0,0,299.5,339.62,"8001,8002,8003",sale_event,normal
25,89,89,89,0,0,288.07,312.08,"8001,8002,8003",sale_event,normal
26,89,89,89,0,0,295.94,312.42,"8001,8002,8003",sale_event,normal
27,94,94,94,0,0,338.7,364.03,"8001,8002,8003",sale_event,normal
28,92,92,92,0,0,302.01,328.86,"8001,8002,8003",sale_event,normal
