time_sec,actual_rps,predicted_rps,phase,scenario,source
0,92.0,92.0,normal,sale_event,observed_history
1,86.0,86.0,normal,sale_event,observed_history
2,85.0,85.0,normal,sale_event,observed_history
3,91.0,91.0,normal,sale_event,observed_history
4,100.0,100.0,normal,sale_event,observed_history
5,85.0,85.0,normal,sale_event,observed_history
6,96.0,96.0,normal,sale_event,observed_history
7,99.0,99.0,normal,sale_event,observed_history
8,95.0,95.0,normal,sale_event,observed_history
9,80.0,80.0,normal,sale_event,observed_history
10,80.0,80.0,normal,sale_event,observed_history
11,100.0,100.0,normal,sale_event,observed_history
12,95.0,95.0,normal,sale_event,observed_history
13,86.0,86.0,normal,sale_event,observed_history
14,86.0,86.0,normal,sale_event,observed_history
15,87.0,87.0,normal,sale_event,observed_history
16,90.0,90.0,normal,sale_event,observed_history
17,99.0,99.0,normal,sale_event,observed_history
18,96.0,96.0,normal,sale_event,observed_history
19,80.0,80.0,normal,sale_event,observed_history
20,100.0,100.0,normal,sale_event,observed_history
21,89.0,89.0,normal,sale_event,observed_history
22,85.0,85.0,normal,sale_event,observed_history
23,97.0,97.0,normal,sale_event,observed_history
24,99.0,99.0,normal,sale_event,observed_history
25,89.0,89.0,normal,sale_event,observed_history
26,89.0,89.0,normal,sale_event,observed_history
27,94.0,94.0,normal,sale_event,observed_history
28,92.0,92.0,normal,sale_event,observed_history
29,80.0,80.0,normal,sale_event,observed_history
30,80.0,80.0,normal,sale_event,observed_history
31,100.0,100.0,normal,sale_event,observed_history
32,92.0,92.0,normal,sale_event,observed_history
33,97.0,97.0,normal,sale_event,observed_history
34,81.0,81.0,normal,sale_event,observed_history
35,100.0,100.0,normal,sale_event,observed_history
36,92.0,92.0,normal,sale_event,observed_history
37,89.0,89.0,normal,sale_event,observed_history
38,93.0,93.0,normal,sale_event,observed_history
39,87.0,87.0,normal,sale_event,observed_history
40,97.0,97.0,normal,sale_event,observed_history
41,82.0,82.0,normal,sale_event,observed_history
42,97.0,97.0,normal,sale_event,observed_history
43,97.0,97.0,normal,sale_event,observed_history
44,97.0,97.0,normal,sale_event,observed_history
45,83.0,83.0,normal,sale_event,observed_history
46,81.0,81.0,normal,sale_event,observed_history
47,92.0,92.0,normal,sale_event,observed_history
48,83.0,83.0,normal,sale_event,observed_history
49,98.0,98.0,normal,sale_event,observed_history
50,100.0,100.0,normal,sale_event,observed_history
51,98.0,98.0,normal,sale_event,observed_history
52,91.0,91.0,normal,sale_event,observed_history
53,91.0,91.0,normal,sale_event,observed_history
54,82.0,82.0,normal,sale_event,observed_history
55,87.0,87.0,normal,sale_event,observed_history
56,94.0,94.0,normal,sale_event,observed_history
57,84.0,84.0,normal,sale_event,observed_history
58,91.0,91.0,normal,sale_event,observed_history
59,94.0,94.0,normal,sale_event,observed_history
60,83.0,83.0,normal,sale_event,observed_history
61,80.0,80.0,normal,sale_event,observed_history
62,91.0,91.0,normal,sale_event,observed_history
63,88.0,88.0,normal,sale_event,observed_history
64,87.0,87.0,normal,sale_event,observed_history
65,92.0,92.0,normal,sale_event,observed_history
66,97.0,97.0,normal,sale_event,observed_history
67,96.0,96.0,normal,sale_event,observed_history
68,88.0,88.0,normal,sale_event,observed_history
69,90.0,90.0,normal,sale_event,observed_history
70,88.0,88.0,normal,sale_event,observed_history
71,99.0,99.0,normal,sale_event,observed_history
72,95.0,95.0,normal,sale_event,observed_history
73,97.0,97.0,normal,sale_event,observed_history
74,80.0,80.0,normal,sale_event,observed_history
75,86.0,86.0,normal,sale_event,observed_history
76,96.0,96.0,normal,sale_event,observed_history
77,93.0,93.0,normal,sale_event,observed_history
78,100.0,100.0,normal,sale_event,observed_history
79,87.0,87.0,normal,sale_event,observed_history
80,88.0,88.0,normal,sale_event,observed_history
81,93.0,93.0,normal,sale_event,observed_history
82,84.0,84.0,normal,sale_event,observed_history
83,81.0,81.0,normal,sale_event,observed_history
84,84.0,84.0,normal,sale_event,observed_history
85,80.0,80.0,normal,sale_event,observed_history
86,94.0,94.0,normal,sale_event,observed_history
87,99.0,99.0,normal,sale_event,observed_history
88,85.0,85.0,normal,sale_event,observed_history
89,94.0,94.0,normal,sale_event,observed_history
90,99.0,99.0,normal,sale_event,observed_history
91,98.0,98.0,normal,sale_event,observed_history
92,99.0,99.0,normal,sale_event,observed_history
93,98.0,98.0,normal,sale_event,observed_history
94,89.0,89.0,normal,sale_event,observed_history
95,84.0,84.0,normal,sale_event,observed_history
96,93.0,93.0,normal,sale_event,observed_history
97,92.0,92.0,normal,sale_event,observed_history
98,93.0,93.0,normal,sale_event,observed_history
99,83.0,83.0,normal,sale_event,observed_history
100,99.0,99.0,normal,sale_event,observed_history
101,84.0,84.0,normal,sale_event,observed_history
102,82.0,82.0,normal,sale_event,observed_history
103,97.0,97.0,normal,sale_event,observed_history
104,84.0,84.0,normal,sale_event,observed_history
105,98.0,98.0,normal,sale_event,observed_history
106,99.0,99.0,normal,sale_event,observed_history
107,89.0,89.0,normal,sale_event,observed_history
108,86.0,86.0,normal,sale_event,observed_history
109,85.0,85.0,normal,sale_event,observed_history
110,89.0,89.0,normal,sale_event,observed_history
111,88.0,88.0,normal,sale_event,observed_history
112,83.0,83.0,normal,sale_event,observed_history
113,96.0,96.0,normal,sale_event,observed_history
114,94.0,94.0,normal,sale_event,observed_history
115,83.0,83.0,normal,sale_event,observed_history
116,99.0,99.0,normal,sale_event,observed_history
117,91.0,91.0,normal,sale_event,observed_history
118,94.0,94.0,normal,sale_event,observed_history
119,82.0,82.0,normal,sale_event,observed_history
