time_sec,target_rps,actual_sent,success_count,fail_count,sla_violation_count,avg_latency_ms,p95_latency_ms,active_ports,scenario,phase
0,92,92,92,0,0,650.67,703.46,"8001,8002",sale_event,normal
1,86,86,86,0,0,272.99,322.95,"8001,8002,8003",sale_event,normal
2,85,85,85,0,0,277.75,285.78,"8001,8002,8003",sale_event,normal
3,91,91,91,0,0,245.29,304.44,"8001,8002,8003",sale_event,normal
4,100,100,100,0,0,313.74,383.08,"8001,8002,8003",sale_event,normal
5,85,85,85,0,0,292.9,341.67,"8001,8002,8003",sale_event,normal
6,96,96,96,0,0,297.01,314.15,"8001,8002,8003",sale_event,normal
7,99,99,99,0,0,336.53,407.25,"8001,8002,8003",sale_event,normal
8,95,95,95,0,0,289.38,321.05,"8001,8002,8003",sale_event,normal
9,80,80,80,0,0,239.57,269.43,"8001,8002,8003",sale_event,normal
10,80,80,80,0,0,238.96,266.41,"8001,8002,8003",sale_event,normal
11,100,100,100,0,0,345.6,391.17,"8001,8002,8003",sale_event,normal
12,95,95,95,0,0,307.44,333.23,"8001,8002,8003",sale_event,normal
13,86,86,86,0,0,271.79,287.93,"8001,8002,8003",sale_event,normal
14,86,86,86,0,0,266.5,297.11,"8001,8002,8003",sale_event,normal
15,87,87,87,0,0,294.55,301.45,"8001,8002,8003",sale_event,normal
16,90,90,90,0,0,316.23,341.65,"8001,8002,8003",sale_event,normal
17,99,99,99,0,0,268.57,318.81,"8001,8002,8003",sale_event,normal
18,96,96,96,0,0,297.38,324.48,"8001,8002,8003",sale_event,normal
19,80,80,80,0,0,229.49,268.36,"8001,8002,8003",sale_event,normal
20,100,100,100,0,0,278.82,339.13,"8001,8002,8003",sale_event,normal
21,89,89,89,0,0,286.67,309.35,"8001,8002,8003",sale_event,normal
22,85,85,85,0,0,241.23,288.97,"8001,8002,8003",sale_event,normal
23,97,97,97,0,0,310.61,317.28,"8001,8002,8003",sale_event,normal
24,99,99,99,0,0,322.85,352.35,"8001,8002,8003",sale_event,normal
25,89,89,89,0,0,265.43,298.89,"8001,8002,8003",sale_event,normal
26,89,89,89,0,0,245.14,294.84,"8001,8002,8003",sale_event,normal
27,94,94,94,0,0,289.93,335.94,"8001,8002,8003",sale_event,normal
28,92,92,92,0,0,262.98,323.75,"8001,8002,8003",sale_event,normal
29,80,80,80,0,0,233.73,263.0,"8001,8002,8003",sale_event,normal
30,80,80,80,0,0,248.04,285.46,"8001,8002,8003",sale_event,normal
31,100,100,100,0,0,332.33,419.09,"8001,8002,8003",sale_event,normal
32,92,92,92,0,0,319.91,391.65,"8001,8002,8003",sale_event,normal
33,97,97,97,0,0,304.68,375.9,"8001,8002,8003",sale_event,normal
34,81,81,81,0,0,272.14,331.78,"8001,8002,8003",sale_event,normal
35,100,100,100,0,0,338.28,496.04,"8001,8002,8003",sale_event,normal
36,92,92,92,0,0,316.51,384.73,"8001,8002,8003",sale_event,normal
37,89,89,89,0,0,298.28,369.43,"8001,8002,8003",sale_event,normal
38,93,93,93,0,0,274.6,305.15,"8001,8002,8003",sale_event,normal
39,87,87,87,0,0,281.9,366.72,"8001,8002,8003",sale_event,normal
40,97,97,97,0,0,294.57,324.61,"8001,8002,8003",sale_event,normal
41,82,82,82,0,0,250.52,280.14,"8001,8002,8003",sale_event,normal
42,97,97,97,0,0,308.98,320.27,"8001,8002,8003",sale_event,normal
43,97,97,97,0,0,312.52,351.39,"8001,8002,8003",sale_event,normal
44,97,97,97,0,0,301.14,317.64,"8001,8002,8003",sale_event,normal
45,83,83,83,0,0,281.08,306.4,"8001,8002,8003",sale_event,normal
46,81,81,81,0,0,272.46,303.07,"8001,8002,8003",sale_event,normal
47,92,92,92,0,0,313.78,333.25,"8001,8002,8003",sale_event,normal
48,83,83,83,0,0,254.57,293.86,"8001,8002,8003",sale_event,normal
49,98,98,98,0,0,288.8,335.07,"8001,8002,8003",sale_event,normal
50,100,100,100,0,0,283.23,321.45,"8001,8002,8003",sale_event,normal
51,98,98,98,0,0,298.53,335.32,"8001,8002,8003",sale_event,normal
